column_name,ShortName
awardDetails.dollars.baseAndAllOptionsValue,base_all_opt_val
awardDetails.dollars.feePaidForUseOfService,fee_paid
awardDetails.totalContractDollars.totalActionObligation,total_action_obligation
awardDetails.totalContractDollars.totalBaseAndExercisedOptionsValue,total_base_exercised_val
awardDetails.totalContractDollars.totalBaseAndAllOptionsValue,total_base_all_opt_val
awardDetails.contractData.costOrPricingData.code,cost_pricing_data_cd
awardDetails.contractData.costOrPricingData.name,cost_pricing_data_nm
awardDetails.contractData.purchaseCardAsPaymentMethod.code,purchase_card_cd
awardDetails.contractData.purchaseCardAsPaymentMethod.name,purchase_card_nm
awardDetails.contractData.undefinitizedAction.code,undef_action_cd
awardDetails.contractData.undefinitizedAction.name,undef_action_nm
awardDetails.contractData.natureOfServices.code,nature_svc_cd
awardDetails.contractData.natureOfServices.name,nature_svc_nm
awardDetails.contractData.emergencyAcquisition.code,emergency_acq_cd
awardDetails.contractData.emergencyAcquisition.name,emergency_acq_nm
awardDetails.contractData.numberOfActions,num_actions
awardDetails.contractData.referencedIDVType.code,ref_idv_type_cd
awardDetails.contractData.referencedIDVType.name,ref_idv_type_nm
awardDetails.contractData.referencedIDVMultipleOrSingle.code,ref_idv_multi_single_cd
awardDetails.contractData.referencedIDVMultipleOrSingle.name,ref_idv_multi_single_nm
awardDetails.productOrServiceInformation.idvNAICS.code,idv_naics_cd
awardDetails.productOrServiceInformation.idvNAICS.name,idv_naics_nm
awardDetails.productOrServiceInformation.descriptionOfContractRequirement,contract_desc
awardDetails.productOrServiceInformation.useOfEpaDesignatedProducts.code,epa_prod_cd
awardDetails.productOrServiceInformation.useOfEpaDesignatedProducts.name,epa_prod_nm
awardDetails.productOrServiceInformation.placeOfManufacture.code,mfg_place_cd
awardDetails.productOrServiceInformation.placeOfManufacture.name,mfg_place_nm
awardDetails.productOrServiceInformation.domesticOrForeignEntity.code,dom_foreign_cd
awardDetails.productOrServiceInformation.domesticOrForeignEntity.name,dom_foreign_nm
awardDetails.competitionInformation.commercialProductsAndServicesAcquisitionProcedures.code,comm_prod_acq_proc_cd
awardDetails.competitionInformation.commercialProductsAndServicesAcquisitionProcedures.name,comm_prod_acq_proc_nm
awardDetails.competitionInformation.commercialItemTestProgram.code,comm_item_test_cd
awardDetails.competitionInformation.commercialItemTestProgram.name,comm_item_test_nm
awardDetails.competitionInformation.extentCompetedForReferencedIdv.code,idv_extent_competed_cd
awardDetails.competitionInformation.extentCompetedForReferencedIdv.name,idv_extent_competed_nm
awardDetails.competitionInformation.evaluatedPreference.code,eval_pref_cd
awardDetails.competitionInformation.evaluatedPreference.name,eval_pref_nm
awardDetails.competitionInformation.numberOfOffersReceived,offers_received
awardDetails.competitionInformation.idvTypeOfSetAside.code,idv_set_aside_cd
awardDetails.competitionInformation.idvTypeOfSetAside.name,idv_set_aside_nm
awardDetails.competitionInformation.typeOfSetAsideSource.code,set_aside_src_cd
awardDetails.competitionInformation.typeOfSetAsideSource.name,set_aside_src_nm
awardDetails.competitionInformation.idvNumberOfOffersReceived,idv_offers_received
awardDetails.competitionInformation.numberOfOffersSource.code,offers_src_cd
awardDetails.competitionInformation.numberOfOffersSource.name,offers_src_nm
awardDetails.competitionInformation.contractOpportunitiesNotice.code,opp_notice_cd
awardDetails.competitionInformation.contractOpportunitiesNotice.name,opp_notice_nm
awardDetails.competitionInformation.alternativeAdvertising.code,alt_advertising_cd
awardDetails.competitionInformation.alternativeAdvertising.name,alt_advertising_nm
awardDetails.competitionInformation.synopsisWaiverException.code,synopsis_waiver_cd
awardDetails.competitionInformation.synopsisWaiverException.name,synopsis_waiver_nm
awardDetails.preferenceProgramsInformation.contractingOfficerBusinessSizeDetermination[0].code,co_biz_size_cd
awardDetails.preferenceProgramsInformation.contractingOfficerBusinessSizeDetermination[0].name,co_biz_size_nm
awardDetails.preferenceProgramsInformation.idvContractingOfficerBusinessSizeDetermination.code,idv_co_biz_size_cd
awardDetails.preferenceProgramsInformation.idvContractingOfficerBusinessSizeDetermination.name,idv_co_biz_size_nm
awardDetails.preferenceProgramsInformation.subcontractPlan.code,subcontract_plan_cd
awardDetails.preferenceProgramsInformation.subcontractPlan.name,subcontract_plan_nm
awardDetails.legislativeMandates.additionalReporting.code,addl_reporting_cd
awardDetails.legislativeMandates.additionalReporting.name,addl_reporting_nm
awardDetails.contractMarketingData.typeOfFeeForUseOfService.code,fee_type_cd
awardDetails.contractMarketingData.orderingProcedure,ordering_proc
awardDetails.awardeeData.awardeeHeader.awardeeName,awardee_nm
awardDetails.awardeeData.awardeeHeader.legalBusinessName,awardee_legal_nm
awardDetails.awardeeData.awardeeHeader.awardeeNameFromContract,awardee_contract_nm
awardDetails.awardeeData.awardeeUEIInformation.uniqueEntityId,awardee_uei
awardDetails.awardeeData.awardeeUEIInformation.cageCode,awardee_cage
awardDetails.awardeeData.awardeeUEIInformation.awardeeUltimateParentUniqueEntityId,awardee_parent_uei
awardDetails.awardeeData.awardeeUEIInformation.awardeeUltimateParentName,awardee_parent_nm
awardDetails.awardeeData.awardeeLocation.streetAddress1,awardee_addr1
awardDetails.awardeeData.awardeeLocation.city,awardee_city
awardDetails.awardeeData.awardeeLocation.state.code,awardee_state_cd
awardDetails.awardeeData.awardeeLocation.state.name,awardee_state_nm
awardDetails.awardeeData.awardeeLocation.zip,awardee_zip
awardDetails.awardeeData.awardeeLocation.country.code,awardee_country_cd
awardDetails.awardeeData.awardeeLocation.country.name,awardee_country_nm
awardDetails.awardeeData.awardeeLocation.congressionalDistrict,awardee_congress_dist
awardDetails.awardeeData.awardeeLocation.phoneNumber,awardee_phone
awardDetails.awardeeData.awardeeLocation.faxNumber,awardee_fax
awardDetails.awardeeData.awardeeLocation.awardeeDataSource,awardee_data_src
awardDetails.awardeeData.awardeeAlternateSiteCode,awardee_alt_site_cd
